episode,input_fidelity,samples,legacy_force_norm_mean_n,current_force_norm_mean_n,delta_force_norm_mean_n,delta_percent_force_norm_mean_n,legacy_force_norm_rmse_n,current_force_norm_rmse_n,delta_force_norm_rmse_n,delta_percent_force_norm_rmse_n,legacy_force_norm_p95_n,current_force_norm_p95_n,delta_force_norm_p95_n,delta_percent_force_norm_p95_n,legacy_force_norm_p99_n,current_force_norm_p99_n,delta_force_norm_p99_n,delta_percent_force_norm_p99_n,legacy_force_norm_max_n,current_force_norm_max_n,delta_force_norm_max_n,delta_percent_force_norm_max_n,legacy_force_within_1n_fraction,current_force_within_1n_fraction,delta_force_within_1n_fraction,delta_percent_force_within_1n_fraction,legacy_force_within_2n_fraction,current_force_within_2n_fraction,delta_force_within_2n_fraction,delta_percent_force_within_2n_fraction
episode_011,high_rate_observer_log,3186,2.402372685775341,0.8904537952637948,-1.5119188905115464,-62.934402287528094,2.478576048662273,0.9788482753924562,-1.499727773269817,-60.507635990400374,3.1544942876366417,1.654915968264386,-1.4995783193722558,-47.53783594567056,3.383176593128523,2.1181426503333194,-1.2650339427952035,-37.391898057127115,3.8731931870549325,2.683182032862637,-1.1900111541922955,-30.724291217117074,0.020087884494664157,0.6716886377903327,0.6516007532956686,3243.7499999999995,0.22159447583176398,0.9808537350910232,0.7592592592592593,342.63456090651556
episode_012,high_rate_observer_log,2249,2.5546672339745427,0.9048182878103106,-1.649848946164232,-64.58175547182334,2.60574455405,0.9848527117254975,-1.6208918423245027,-62.20455645988852,3.4813243111473717,1.6809083036595658,-1.800416007487806,-51.71641153117465,3.6315068093067713,2.159471630648779,-1.4720351786579924,-40.535107214599805,3.9385349587393437,2.797095125708798,-1.1414398330305455,-28.98133049442071,0.0,0.691418408181414,0.691418408181414,,0.16140506891951978,0.9813250333481547,0.8199199644286349,507.9889807162535
episode_013,high_rate_observer_log,2686,2.018621188567265,0.8643090129261142,-1.1543121756411507,-57.18319921433275,2.1701772245060584,0.922848934764258,-1.2473282897418003,-57.47587227700713,3.167484405498718,1.4672344572956963,-1.7002499482030218,-53.67824211703794,3.3149884847599314,1.7386228771395675,-1.5763656076203638,-47.55267219984092,3.441999789591154,2.378916266048932,-1.0630835235422218,-30.88563592470459,0.11839166046165302,0.7069992553983618,0.5886075949367088,497.1698113207546,0.5063291139240507,0.9973938942665674,0.49106478034251677,96.98529411764706
episode_014,high_rate_observer_log,2935,1.7586347986838589,0.8519597204865131,-0.9066750781973457,-51.55562023882903,1.8911312077023767,0.9314638263540741,-0.9596673813483027,-50.745679487477084,2.808172759663483,1.619351548819088,-1.1888212108443952,-42.334333126529486,3.171869851018162,2.0281159257598267,-1.1437539252583355,-36.059295588411146,3.7108301304318467,2.6081660511002687,-1.102664079331578,-29.71475493552856,0.15877342419080068,0.7427597955706985,0.5839863713798978,367.81115879828326,0.6115843270868825,0.9890971039182282,0.37751277683134576,61.72701949860723
episode_015,high_rate_observer_log,2750,2.023808070078206,0.9324684596668105,-1.0913396104113957,-53.925054778995076,2.1369252496055897,1.0323177038028049,-1.1046075458027849,-51.691445267290526,3.2261121217397277,1.824744899216513,-1.4013672225232148,-43.43826778616445,3.3801589569212593,2.198448021880524,-1.1817109350407353,-34.96021785073297,3.7057150639595617,2.7522857370140885,-0.9534293269454732,-25.728619456422336,0.06290909090909091,0.6516363636363637,0.5887272727272728,935.8381502890173,0.5309090909090909,0.9767272727272728,0.4458181818181819,83.97260273972606
episode_016,high_rate_observer_log,2940,1.8760906834631361,0.9307478337294713,-0.9453428497336648,-50.3889741613463,1.9811394838513159,1.0221595198995739,-0.958979963951742,-48.40547431256553,3.079613660550896,1.8192229635121329,-1.260390697038763,-40.92690954011739,3.2983395535853233,2.2058347284680813,-1.092504825117242,-33.122873111401766,3.48922905191578,2.7392823488793536,-0.7499467030364264,-21.49319210284186,0.07551020408163266,0.6659863945578232,0.5904761904761905,781.981981981982,0.5816326530612245,0.9768707482993197,0.3952380952380953,67.953216374269
episode_017,high_rate_observer_log,3041,1.6857743265260459,0.8738319931652023,-0.8119423333608435,-48.164355132519496,1.782319774190084,0.9562792762638326,-0.8260404979262514,-46.34636892258114,2.6614317694591785,1.6162232910402339,-1.0452084784189446,-39.27241308280236,3.017581906559959,1.9929130675101465,-1.0246688390498124,-33.956620591549544,3.3627860072546674,2.684014354847441,-0.6787716524072263,-20.18480066655702,0.11871095034528116,0.6872739230516277,0.5685629727063466,478.9473684210526,0.7129233804669517,0.9901348240710293,0.27721144360407757,38.88376383763837
episode_018,high_rate_observer_log,3784,2.058862195292761,0.762311581670837,-1.296550613621924,-62.974132828620924,2.143875461861996,0.8532649437654474,-1.2906105180965488,-60.19988292489851,3.0382453116322092,1.5180510393937445,-1.5201942722384647,-50.03527089857614,3.255125737499349,2.0727218411638737,-1.1824038963354755,-36.32436936963981,3.737662622053771,3.4149446480506036,-0.3227179740031674,-8.634218939371266,0.03964059196617336,0.7991543340380549,0.7595137420718816,1916.0000000000002,0.4371035940803383,0.9878435517970402,0.5507399577167019,125.99758162031439
episode_019,high_rate_observer_log,3079,1.7803768596737763,0.9100705804827652,-0.8703062791910111,-48.88326167924244,1.8567348069654448,1.036655930212889,-0.8200788767525558,-44.167797882393984,2.6545257195935537,1.84421694324302,-0.8103087763505337,-30.52555755514035,3.007241950658651,2.4543664469896673,-0.5528755036689836,-18.3848028439445,3.426172918099342,5.354929174204135,1.9287562561047928,56.29477268691867,0.08671646638519,0.6732705423838908,0.5865540759987008,676.4044943820224,0.6258525495290679,0.966222799610263,0.34037025008119515,54.385054488842755
episode_020,high_rate_observer_log,3731,1.8785908034822925,0.8188268175223206,-1.059763985959972,-56.412710207859874,2.031769214753495,0.9029040048441669,-1.1288652099093284,-55.5607005811577,3.4881810677448915,1.5764881213422433,-1.9116929464026482,-54.80486560975911,3.831379594812139,1.8856268994801786,-1.9457526953319606,-50.78464942410294,4.005535287942076,2.344830901142834,-1.6607043867992415,-41.46023608376352,0.08415974269632806,0.7333154650227821,0.649155722326454,771.3375796178344,0.633342267488609,0.9949075314928973,0.36156526400428834,57.08844688954717
